,-2,-1,0,1,2,3,4,5,6,7,8,9
10,0.89,0.903,0.862,0.849,0.843,0.85,0.839,0.85,0.845,0.85,0.839,0.847
20,0.89,0.924,0.91,0.908,0.899,0.893,0.893,0.892,0.894,0.897,0.894,0.892
30,0.891,0.933,0.93,0.911,0.915,0.906,0.91,0.91,0.905,0.91,0.911,0.911
40,0.893,0.933,0.928,0.926,0.91,0.916,0.916,0.918,0.913,0.915,0.916,0.917
50,0.894,0.943,0.942,0.925,0.913,0.913,0.909,0.914,0.911,0.914,0.909,0.912
60,0.893,0.941,0.943,0.933,0.92,0.924,0.922,0.926,0.926,0.924,0.924,0.924
70,0.894,0.944,0.949,0.94,0.923,0.924,0.925,0.924,0.924,0.924,0.924,0.924
80,0.891,0.947,0.948,0.939,0.93,0.929,0.924,0.926,0.929,0.928,0.929,0.929
90,0.893,0.945,0.948,0.946,0.928,0.926,0.925,0.922,0.922,0.923,0.923,0.923
100,0.894,0.948,0.95,0.941,0.925,0.925,0.926,0.927,0.926,0.929,0.928,0.928
110,0.891,0.946,0.951,0.94,0.932,0.92,0.924,0.923,0.924,0.925,0.925,0.925
120,0.895,0.946,0.952,0.943,0.929,0.926,0.925,0.921,0.922,0.923,0.922,0.922
130,0.892,0.945,0.954,0.946,0.935,0.932,0.932,0.927,0.927,0.927,0.927,0.927
140,0.894,0.948,0.948,0.945,0.926,0.921,0.925,0.925,0.924,0.924,0.924,0.924
150,0.895,0.948,0.954,0.946,0.927,0.926,0.925,0.925,0.923,0.923,0.922,0.922
160,0.895,0.947,0.953,0.946,0.931,0.929,0.93,0.932,0.928,0.928,0.928,0.928
170,0.893,0.947,0.95,0.946,0.945,0.937,0.933,0.931,0.933,0.932,0.932,0.932
180,0.893,0.948,0.953,0.947,0.93,0.929,0.928,0.929,0.929,0.929,0.929,0.929
190,0.894,0.947,0.954,0.947,0.933,0.932,0.931,0.931,0.931,0.931,0.931,0.931
200,0.896,0.947,0.951,0.946,0.933,0.929,0.928,0.928,0.928,0.928,0.928,0.928
210,0.896,0.947,0.953,0.941,0.934,0.927,0.927,0.93,0.926,0.929,0.929,0.929
220,0.895,0.95,0.955,0.943,0.933,0.926,0.932,0.934,0.934,0.934,0.934,0.934
230,0.893,0.949,0.955,0.946,0.925,0.924,0.928,0.927,0.929,0.927,0.927,0.927
240,0.894,0.946,0.954,0.949,0.928,0.919,0.925,0.927,0.92,0.921,0.921,0.921
